correo,nombre,SRL,Me mantengo al día de los aconteceres nacionales y mundiales leyendo noticias en redes sociales aún si no es un tema que me interese,Cuando leo una noticia la comparto entre mis contactos sin antes verificar si es cierta,Valido la veracidad de una noticia considerando los comentarios de los demás lectores solo si provienen de expertos en el tema,Valido la veracidad de una noticia corroborando si existe coherencia entre el titular y la imagen que la acompaña,Valido la veracidad de una noticia corroborando la seriedad del medio noticioso,Valido la veracidad de una noticia corroborando si existe coherencia entre el titular y el resumen que la acompaña,Cuando navego por mis redes sociales solo me detengo a leer las noticias que son de mi interés,Valido la veracidad de una noticia corroborando si el medio noticioso es un medio reconocido,Leo los comentarios de otros lectores aunque no sean expertos en el tema, porque me ayuda a saber si una noticia es verídica,Valido la veracidad de una noticia corroborando la reputación del medio noticioso,Valido la veracidad de una noticia ingresando al enlace de ella para leerla por completo,Comparto noticias en mis redes sociales solo si antes verifiqué su veracidad,Search,Realizó las búsquedas que sean necesarias hasta encontrar lo que quiero,Busco noticias en motores de búsqueda para mantenerme informado sobre los aconteceres nacionales y mundiales,Realizo búsquedas de información utilizando motores de búsqueda para corroborar la veracidad de una noticia,Realizo más de una búsqueda para un mismo tema cambiando las palabras claves utilizadas,Busco noticias en motores de búsqueda solo de aquellos temas que son de mi interés,Considero que los primeros resultados que muestra la página como los más confiables,Valido la veracidad de una noticia corroborando si existen coincidencias entre el título de la página web y las palabras claves de mi búsqueda antes de ingresar al enlace,Valido la veracidad de una noticia corroborando si otros medios hablan sobre el tema,Solo ingreso al enlace de la noticia si considero que su url es confiable,Solo ingreso al enlace de una noticia considerando la reputación del medio,Llego hasta el final de la página de resultados buscando información confiable,Valido la veracidad de una noticia corroborando si existen coincidencias entre la descripción/resumen de la página web y las palabras claves de mi búsqueda antes de ingresar al enlace,Solo ingreso al enlace de una noticia considerando la seriedad del medio,Valido la veracidad de una noticia corroborando lo que otros medios dicen sobre el tema,Solo ingreso al enlace de una noticia si es de un medio reconocido,Solo ingreso al enlace de la noticia considerando si su fecha está actualizada
usuario1,usuario1,Sí,4,3,4,3,5,4,4,5,5,5,5,2,Si,3,3,4,3,4,4,4,5,4,2,2,3,3,3,1,4,
usuario2,usuario2,Sí,5,1,2,2,3,2,2,4,5,4,5,5,Si,5,2,5,5,5,4,5,5,4,3,3,5,3,5,2,5,
usuario3,usuario3,No,3,2,2,3,4,2,4,4,2,4,4,1,Si,4,4,2,3,3,4,3,4,4,4,1,3,4,3,3,4,
usuario4,usuario4,Sí,3,1,3,5,5,5,4,5,4,5,5,5,Si,5,3,5,5,4,3,4,5,5,5,5,5,5,5,5,5,
usuario5,usuario5,Sí,4,1,3,5,5,2,3,5,3,5,4,1,Si,3,4,4,4,5,4,4,5,5,3,1,3,3,3,3,3,
usuario6,usuario6,Sí,5,4,4,5,4,5,5,4,5,5,4,3,Si,5,3,4,5,4,5,5,5,4,4,5,5,4,4,4,4,
usuario7,usuario7,Sí,4,1,5,5,5,5,5,5,5,5,5,4,Si,4,4,5,3,4,3,3,5,5,5,4,4,4,4,5,3,
usuario8,usuario8,No,2,3,3,1,4,4,4,5,5,5,5,5,Si,5,4,4,4,4,3,3,5,5,5,4,4,5,3,5,3,
usuario9,usuario9,No,2,2,2,2,4,3,5,4,3,3,1,1,No,,,,,,,,,,,,,,,,,
usuario10,usuario10,No,3,1,4,3,2,4,5,5,3,4,3,1,Si,4,3,4,5,3,5,5,4,5,4,5,5,3,3,4,3,
usuario11,usuario11,Sí,3,1,2,2,3,3,4,2,1,3,3,5,Si,4,2,3,4,4,2,3,4,4,3,2,3,3,4,2,4,
usuario12,usuario12,No,3,1,2,4,5,4,5,4,1,4,3,1,No,,,,,,,,,,,,,,,,,
usuario13,usuario13,No,3,2,4,4,5,4,4,4,3,4,4,4,Si,5,3,4,4,4,4,5,4,5,4,3,4,4,4,4,4,
usuario14,usuario14,Sí,4,2,5,5,5,5,3,5,4,5,5,1,Si,4,4,3,2,5,4,4,5,5,5,4,3,4,5,4,4,
usuario15,usuario15,No,4,2,2,4,4,2,2,4,4,4,5,1,Si,5,5,4,5,2,4,5,4,5,2,4,4,2,4,2,4,
usuario16,usuario16,No,4,1,2,2,5,3,2,5,1,5,5,5,Si,4,3,5,4,3,3,4,4,4,4,4,4,4,4,4,4,
usuario17,usuario17,No,3,1,3,5,5,5,5,5,1,5,5,1,No,,,,,,,,,,,,,,,,,
usuario18,usuario18,No,2,1,2,4,5,5,4,4,4,3,3,5,No,,,,,,,,,,,,,,,,,
usuario19,usuario19,Sí,3,1,4,4,5,4,5,4,1,4,4,1,Si,5,2,5,5,3,3,4,5,5,3,4,3,4,5,4,4,
