Marca temporal,Rol,¿Con qué frecuencia utiliza el servicio de fotocopias?,¿En qué momento realizas la solicitud
24/11/2022 9:06:18,Estudiante,Nunca,1 semana antes de trabajo/prueba
24/11/2022 9:06:32,Estudiante,Nunca,3 semana antes de trabajo/prueba
24/11/2022 9:06:40,Estudiante,Nunca,Nunca
24/11/2022 9:06:41,Estudiante,Nunca,Nunca
24/11/2022 9:06:42,Estudiante,Nunca,Nunca
24/11/2022 9:06:42,Estudiante,Nunca,Nunca
24/11/2022 9:06:42,Estudiante,Nunca,Nunca
24/11/2022 9:06:45,Estudiante,Nunca,Nunca
24/11/2022 9:06:45,Estudiante,Nunca,Nunca
24/11/2022 9:06:48,Estudiante,Nunca,Nunca
24/11/2022 9:06:48,Estudiante,Nunca,Nunca
24/11/2022 9:06:50,Estudiante,Nunca,Nunca
24/11/2022 9:06:52,Estudiante,Nunca,1 semana antes de trabajo/prueba
24/11/2022 9:06:53,Estudiante,Nunca,1 semana antes de trabajo/prueba
24/11/2022 9:06:55,Estudiante,Nunca,Nunca
24/11/2022 9:06:57,Estudiante,Nunca,Nunca
24/11/2022 9:06:57,Estudiante,Nunca,Nunca
24/11/2022 9:06:58,Estudiante,Nunca,Nunca
24/11/2022 9:07:04,Estudiante,Nunca,Nunca
24/11/2022 9:07:11,Estudiante,Nunca,Nunca
24/11/2022 9:07:11,Estudiante,Nunca,Nunca
24/11/2022 9:07:12,Estudiante,Nunca,Nunca
24/11/2022 9:07:15,Docente,1 por mes,1 semana antes de trabajo/prueba
24/11/2022 9:07:18,Estudiante,Nunca,Nunca
24/11/2022 9:07:20,Estudiante,Nunca,Nunca
24/11/2022 9:07:21,Estudiante,Nunca,Nunca
24/11/2022 9:07:22,Estudiante,3 por mes,1 semana antes de trabajo/prueba
24/11/2022 9:07:23,Estudiante,Nunca,Nunca
24/11/2022 9:08:04,Estudiante,Nunca,Nunca
